"Timestamp","Averaged points","Runtime(avg) ms","Samples count","Notes count","Platform ms","Expense Factor"
"2023-11-14T04:41:34+0100",30,5.2002966,48640,20,7.627828,0.68
"2023-05-15T05:56:01+0200",10,5.1169677,48640,20,8.107975,0.63
"2022-03-12T01:01:32+0100",10,5.7154378,48640,20,8.10797503150969,0.7
